#,School,Capacity,Current Programs,EPR Programs,Current Grade Structure,EPR Ultimate Grade Structure,Oct '23* Enrolment,Oct '23 UF (%),EPR Enrolment,EPR UF (%),Enrolment Difference (Oct 23/EPR)
112,Terry Fox Elementary School,303,"ENG, EFI","EE,FI",4-8,4-8,250,83%,256,84%,6
113,Trillium Elementary School,616,"ENG, EFI, MFI","EE,FI, MFI",JK-8,JK-8,394,64%,381,62%,-13
114,Vimy Ridge Public School,674,"ENG, EFI","EE,FI",JK-8,JK-6,959,142%,463,69%,-496
115,Vincent Massey Public School,693,"ENG, EFI, 5-8 G.EFI","EE,FI, 5-8 G.EFI",JK-8,JK-8,771,111%,457,66%,-314
116,Viscount Alexander Public School,188,"ENG, EFI","EE,FI",JK-6,JK-6,193,103%,185,98%,-8
117,W.E. Gowling Public School,615,"ENG, EFI","EE,FI",JK-6,JK-6,450,73%,456,74%,6
118,W. Erskine Johnston Public School,556,"ENG, MFI","EE,FI, MFI",JK-6,JK-6,756,136%,639,115%,-117
119,W.O. Mitchell Elementary School,516,"ENG, EFI","EE,FI",JK-8,JK-8,517,100%,512,99%,-5
120,Wazoson Public School,674,"ENG, EFI","EE,FI",JK-6,JK-6,583,86%,729,108%,146
121,Westwind Public School,628,"ENG, EFI","EE,FI",JK-6,JK-6,656,104%,566,90%,-90
122,Woodroffe Avenue Public School,568,EFI,"EE,FI",JK-8,4-8,543,96%,440,77%,-103
123,York Street Public School,369,ENG,"EE,FI",JK-8,JK-8,249,67%,305,83%,56
